reference_run,independence,poses,precision_pct,recall_region_pct,recall_building_pct,clear_and_mapped_pct,false_obstacle_pct,unmapped_pct,clearance_median_m,clearance_p05_m,figure
dataset_static_tiny_repeat,independent,2973,96.6,89.5,67.2,99.3,0.7,0.0,1.07,0.45,rtab_map_vs_gt.png
dataset_map_tiny,built the map,3032,96.6,89.5,67.2,100.0,0.0,0.0,1.01,0.46,rtab_map_vs_gt_selfcheck.png
