t_ns,var_x,var_y,var_yaw,var_v,var_bgyro,cov_xy,cov_xyaw,cov_yyaw
98910000000,1.12234871e-23,4.57559826e-11,4.7876827e-10,4.32276885e-06,1.39783082e-07,-2.2661458e-17,0,0
98915000000,1.12240208e-20,3.07650407e-10,9.64525682e-10,7.64614157e-06,1.39783582e-07,-1.78114067e-15,5.30875083e-16,4.68881363e-21
98920000000,7.79520628e-20,9.51851911e-10,1.45727226e-09,1.09695143e-05,1.39784082e-07,-8.3129676e-15,1.78478327e-15,1.98424355e-20
98925000000,2.31025734e-19,2.14452913e-09,1.95700803e-09,1.4292887e-05,1.39784582e-07,-2.19532836e-14,-1.36681441e-15,-2.03081417e-20
98930000000,5.30927446e-19,4.02168786e-09,2.46373064e-09,1.74938783e-05,1.3978128e-07,-4.48398951e-14,-6.85603938e-15,-9.25893445e-20
98935000000,1.43766861e-18,6.78754994e-09,2.97744382e-09,2.0817251e-05,1.3978178e-07,-9.37271851e-14,-1.69406363e-14,-3.14617773e-19
98940000000,2.94750928e-18,1.05942746e-08,3.49814608e-09,2.41406237e-05,1.3978228e-07,-1.6278115e-13,-3.38729463e-14,-6.66095283e-19
98945000000,4.55632158e-18,1.56080304e-08,4.02583744e-09,2.74639964e-05,1.3978278e-07,-2.25759215e-13,-6.48645817e-14,-9.69794031e-19
98950000000,8.87224839e-18,2.16993321e-08,4.56051023e-09,3.03390473e-05,1.39779478e-07,-3.6100588e-13,-1.02615469e-13,-2.01245574e-18
98955000000,1.5787195e-17,2.94993186e-08,5.10217807e-09,3.366242e-05,1.39779978e-07,-5.52208229e-13,-1.48997363e-13,-3.41195832e-18
98960000000,2.13344938e-17,3.89824261e-08,5.65083488e-09,3.69857928e-05,1.39780478e-07,-6.89139305e-13,-2.0481447e-13,-3.98187175e-18
98965000000,2.86334098e-17,5.03148232e-08,6.20648072e-09,4.03091655e-05,1.39780978e-07,-8.43081313e-13,-2.70758918e-13,-4.63771724e-18
98970000000,4.11478346e-17,6.2450565e-08,6.76909952e-09,4.2674094e-05,1.39777677e-07,-1.09075996e-12,-3.49245599e-13,-6.43464295e-18
98975000000,6.10541201e-17,7.76152427e-08,7.33872088e-09,4.59974667e-05,1.39778177e-07,-1.44797001e-12,-4.52893905e-13,-9.37628302e-18
98980000000,8.51139824e-17,9.50797937e-08,7.91533114e-09,4.93208394e-05,1.39778677e-07,-1.84572009e-12,-5.66292941e-13,-1.22976369e-17
98985000000,1.14088107e-16,1.15010387e-07,8.49893032e-09,5.26442121e-05,1.39779177e-07,-2.31831941e-12,-6.8492117e-13,-1.54734959e-17
98990000000,1.48707193e-16,1.34239818e-07,9.08949099e-09,5.43446094e-05,1.39775875e-07,-2.79566106e-12,-8.20655632e-13,-1.91744163e-17
98995000000,1.80520343e-16,1.58824901e-07,9.68706476e-09,5.76679821e-05,1.39776375e-07,-3.10176585e-12,-9.77438682e-13,-1.99435589e-17
99000000000,2.16005843e-16,1.86293383e-07,1.02916273e-08,6.09913548e-05,1.39776875e-07,-3.20331386e-12,-1.1698432e-12,-1.8075416e-17
99005000000,2.63499037e-16,2.16811432e-07,1.09031787e-08,6.43147276e-05,1.39777375e-07,-3.3359711e-12,-1.38367184e-12,-1.67988279e-17
99010000000,3.12413216e-16,2.43288909e-07,1.15216771e-08,6.52322227e-05,1.39774074e-07,-3.15615414e-12,-1.60555528e-12,-1.29575294e-17
99015000000,3.79228389e-16,2.79023174e-07,1.21472022e-08,6.85555955e-05,1.39774574e-07,-2.95665363e-12,-1.86440022e-12,-7.82934261e-18
99020000000,4.66840816e-16,3.18185219e-07,1.27797159e-08,7.18789682e-05,1.39775074e-07,-3.00188302e-12,-2.14905254e-12,-6.38445536e-18
99025000000,5.75540161e-16,3.60941211e-07,1.34192185e-08,7.52023409e-05,1.39775574e-07,-3.42945532e-12,-2.45594507e-12,-1.01099284e-17
