dataset,repeat,system,reference,poses,overlap_s,path_m,trans_rmse_m,trans_max_m,trans_final_m,rot_rmse_deg,rot_max_deg,clean_rmse_m,jumps,mean_speed_m_s,rpe1_pairs,rpe1_trans_rmse_m,rpe1_trans_median_m,rpe1_rot_rmse_deg,rpe1_rot_median_deg,rpe1_pairs_clean,rpe1_trans_rmse_clean_m,rpe1_rot_rmse_clean_deg
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion,rosbag /ground_truth/odometry,1494,77.02199999999999,5486.928639095059,596.3672910326706,1435.82265818177,1435.82265818177,38.514295673348336,44.645272284054585,6.771414125491236,858,71.238459649127,1463,39.4206090184632,19.97074140595729,2.6419153432709734,1.0053452150959912,468,2.9704192660604036,1.6901044576877116
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3,rosbag /ground_truth/odometry,1105,77.286,408.2164210210725,45.20595063042883,108.99259808834815,108.67054573521642,176.53376564668207,179.99270180033963,1.314009351142653,109,5.281893499742159,1076,5.132411407958275,3.627134282388271,15.087224060455057,1.0212327731216977,508,3.4330862655901693,14.604922933955873
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2175,77.055,1958.1362293791924,392.54612087870703,992.7940389280466,992.7940389280466,107.03659191311618,113.97708642492056,5.743479175811598,1122,25.41218907766131,2144,25.150601578538755,10.228258592412264,2.438812873441358,0.36028635688770366,799,4.4872742310765865,2.2634385096910243
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,943,77.22,239.52871657181072,13.8390731589143,32.68242227602495,32.68242227602495,76.72343493353682,121.69071364946811,1.3097206884764123,37,3.10189998150493,898,2.708936047401703,0.29664882444715834,12.499363910261152,0.5453626309223594,651,1.8432351138421375,1.0798916424367675
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion,rosbag /ground_truth/odometry,1378,77.055,1068.2914773301395,206.97262587745243,461.3511294979246,461.3511294979246,92.24275831901198,96.52223232456329,8.319020660473369,609,13.86401242398468,1347,12.766851931994513,5.108145030804869,1.671591736520388,0.2958357879624887,612,3.7256239259090504,2.1328101196729383
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3,rosbag /ground_truth/odometry,1043,77.286,3084.4165130712627,857.9510409009903,2183.9910568479436,2183.9910568479436,162.04160225015346,179.9682239109135,0.8427773860368246,512,39.90912342560441,985,59.421602702561906,4.464680929730016,10.943793839856413,1.2518232570507013,362,2.687145868005902,17.847932963767278
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2233,77.055,2248.897871856489,466.7207757553963,1187.0155493482766,1187.0155493482766,108.01641984755486,113.84503467436747,4.39124211170298,1183,29.18561899755355,2202,30.07996601727583,12.322250281844992,2.228436493007348,0.31044411001821215,850,4.4175044538922466,2.18531530528804
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,528,77.22,3413.4702844997646,892.3065832411985,2708.0090770303495,2708.0090770303495,129.90627359524714,150.52551162162115,2.4464027541680604,213,44.20448438875634,481,57.16402505139527,1.345847428713452,13.823132049317243,0.6311548053969614,285,1.7677130718389298,17.933240545132094
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion,rosbag /ground_truth/odometry,1184,77.055,1512.48301089877,324.00977914558797,699.6644783244177,699.6644783244177,88.40515368659565,91.88326412095033,5.466586307455827,580,19.628616065132306,1153,19.354339718343248,7.150834408092193,1.722906741523881,0.25109620902882407,524,3.5945627463997236,2.1308644163643407
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3,rosbag /ground_truth/odometry,1092,77.352,11300.352554338237,3364.3439889902893,8502.990713970323,8502.990713970323,70.82207953653281,91.8739604704562,1.39798179269989,610,146.08998544754158,1031,222.28124786265292,39.26780294204733,17.531895770517785,0.6752599830938468,304,0.9720874921566561,5.2095766683222715
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2057,77.055,1415.5942303905013,318.6588788575602,826.7585874687268,826.7585874687268,108.72578670785052,115.46181071080123,6.067903094457473,991,18.371218355596667,2026,20.515037171211777,6.838750519202287,2.562863684546921,0.3773322709126822,804,4.661343586984852,2.2724458974110022
dataset_dynamic_nofloortexture_00_000,logging_20260916_03,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,570,77.253,1038.5389964589692,81.196491399007,367.4738864016338,29.604497312773756,173.10029110438333,179.9961780778137,4.331638403906344,119,13.443348432539437,527,13.164991932647489,2.694471438317138,23.931580639770416,0.9185059306108808,287,3.1617115721082407,26.937211369564466
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion,rosbag /ground_truth/odometry,2224,73.359,11143.698428433789,1030.3983769167428,2666.7045455862144,2666.7045455862144,63.578885779270024,83.85251689199434,2.179434369989262,1374,151.9063567992174,2193,69.58030900669087,40.5175340437797,4.618282493105191,1.1154643361608028,578,2.2904613293955336,3.478286257483576
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3,rosbag /ground_truth/odometry,1919,73.65599999999999,11212.390275571452,3002.5679419993317,8561.872681313582,8561.872681313582,29.691334170749784,64.38138675119728,1.2603206185428357,1150,152.22643471776166,1830,211.05336675366067,62.356763745591124,13.858017139880538,1.1324297788805011,468,1.9968629848173576,1.4436260309667321
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2224,73.359,15734.587372588292,2309.9297256738,5872.355126665925,5872.355126665925,74.57651711293256,92.54554822812453,2.040272648730461,1805,214.48748446118805,2193,159.0611030760784,81.54300498783441,7.813883284448975,2.1237653797175695,128,3.6987829581357103,2.331262897002312
dataset_dynamic_nofloortexture_00_001,logging_20260916_01,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,1930,73.623,9996.092169460277,2885.7744873738825,7419.908461793522,7419.908461793522,82.19993328107991,111.4042842073855,1.4157387074935914,1159,135.77404030615807,1852,209.2567947693741,94.19689553086201,12.762429486588779,1.413141865304135,599,1.220942091841667,0.5877056413971038
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion,rosbag /ground_truth/odometry,2224,73.359,12363.332966774311,1480.9964635894235,3864.5448155368977,3864.5448155368977,62.83658928501868,79.37111761925438,2.139447661788907,1695,168.5319179211046,2193,101.2729514091921,47.763464147834824,6.201981889929257,1.9137336477919582,269,3.5221751131770462,5.345549389926475
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3,rosbag /ground_truth/odometry,1882,73.59,9821.783310847826,2669.7291507735267,7445.181764666392,7445.181764666392,26.107855339576883,55.69335852343402,1.087410858394324,1141,133.46627681543453,1794,186.48868410741275,60.171710963229756,14.131893442993507,1.185189309532181,307,2.027851934200663,1.4300396843827379
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,VINS-Fusion+YOLO,rosbag /ground_truth/odometry,2224,73.359,15475.599341599953,2129.9684479452726,5521.270988212424,5521.270988212424,75.24192314108201,91.04297550984454,1.5144573632576666,1810,210.95706513992766,2193,144.80978937624695,69.20601070335594,6.983854075701536,1.8117726868434174,148,3.8691165272709114,5.613797310031609
dataset_dynamic_nofloortexture_00_001,logging_20260916_02,ORB-SLAM3+YOLO,rosbag /ground_truth/odometry,1139,73.59,2246.676819776952,553.3459066430081,1746.30620381482,1746.30620381482,93.48860533526612,119.32695589873575,1.9817049106702571,454,30.529648318751896,1092,39.46302732668702,2.6752000094723236,14.690676664190356,0.5566993437944672,553,2.172109674746614,0.7123755099712716
