system,dataset,repeat,poses,jumps,jump_fraction,first_jump_s,last_jump_s,largest_step_m,largest_implied_speed_m_s,longest_clean_duration_s,inertial_transition_s,first_jump_minus_inertial_s,ate_rmse_m,clean_ate_rmse_m,global_to_clean_ratio,yolo_rows,matched_detection_rows,positive_box_rows,nonzero_coverage_rows,matched_fraction,positive_box_fraction,matched_age_median_ms,matched_age_p95_ms,summary_schema_status,failure_detection_enabled
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,1494,858,0.5746818486269256,3.6299999999999955,76.989,48.58806844717435,1176.8253441229297,14.486999999999995,,,596.3672910326706,6.771414125491236,88.07130681723099,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,1378,609,0.4422657952069717,3.4649999999999963,77.02199999999999,24.95214895969284,710.890386538123,32.406000000000006,,,206.97262587745243,8.319020660473369,24.879446069998735,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,1184,580,0.4902789518174134,3.8939999999999984,77.02199999999999,41.72483173685189,497.6771908387569,29.20499999999999,,,324.00977914558797,5.466586307455827,59.27095282547245,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,2224,1374,0.6180836707152496,0.19799999999999995,73.326,69.08890917168394,2093.603308232767,13.794000000000004,,,1030.3983769167428,2.179434369989262,472.78247563005056,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,2224,1695,0.7624831309041835,0.19799999999999995,73.326,68.90343347389154,2087.9828325425383,6.4680000000000035,,,1480.9964635894235,2.139447661788907,692.2330889604857,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,2224,1995,0.8974358974358975,0.16500000000000004,73.326,86.50812178828542,2621.4582360085496,2.4749999999999996,,,1724.9429115895337,2.5508854870674726,676.2133856398814,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,2552,1608,0.6303410427283418,13.628999999999998,84.15,5.4345113607847875,164.68216244801764,15.939,,,904.9350168256982,7.290844794274128,124.11936371713601,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,2552,1596,0.6256370050960408,13.166999999999998,84.15,5.99210465284947,181.57892887421949,16.335,,,851.8980243833436,7.548736205955817,112.85306588289724,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,2552,1619,0.6346530772246178,14.751000000000001,84.15,6.391772602611902,193.69007886706171,15.509999999999998,,,965.8245242554029,7.142003273670331,135.23159920914713,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,2701,72,0.02666666666666667,1.5509999999999984,15.245999999999999,2.0009171070786516,60.63385172965381,73.821,,,12.488036587739607,6.798365119475636,1.836917607141233,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,2701,61,0.02259259259259259,1.5509999999999984,17.753999999999998,1.7596747745819394,53.32347801763251,71.31299999999999,,,12.879117185367003,7.355277510672856,1.751003570793732,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,2700,58,0.021489440533530937,1.5509999999999984,15.344999999999999,1.9336405433275332,58.59516797962,73.722,,,11.30094901159483,6.809806188656184,1.6595111077346103,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_01,1174,0,0.0,,,0.34733771419182174,1.8620769528975258,86.295,,,0.37048928476013376,0.37048928476013376,1.0,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_02,1067,0,0.0,,,0.3147454377747195,1.7293890278219834,86.295,,,0.4053119157744721,0.4053119157744721,1.0,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_03,1068,0,0.0,,,0.40098736613514346,1.8757759337231825,86.295,,,0.43099368900019247,0.43099368900019247,1.0,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_01,993,0,0.0,,,0.44979400173857337,1.829929881501537,81.576,,,0.3864315081892375,0.3864315081892375,1.0,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_02,946,0,0.0,,,0.457715983662358,2.0843143310178376,81.576,,,0.29385927883011137,0.29385927883011137,1.0,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_03,893,0,0.0,,,0.40873055647944867,2.0249294504144486,81.576,,,0.48286865148296976,0.48286865148296976,1.0,0,0,0,0,,,,,complete,0
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_01,1223,0,0.0,,,0.3482410482697287,1.9701186961113355,89.067,,,0.34202114198683625,0.34202114198683625,1.0,0,0,0,0,,,,,complete,0
