dataset,repeat,system,delta_s,pairs,trans_rmse,trans_median,rot_rmse,rot_median,pairs_clean,trans_rmse_clean,trans_median_clean,rot_rmse_clean,rot_median_clean
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3+YOLO,2.0,895,4.621247102107842,0.4536957144862097,18.507337688334378,1.0549643968794957,531,3.1437172461534297,0.2793541579143585,1.6187417520348648,0.6027924166303906
dataset_dynamic_nofloortexture_00_000,logging_20260916_01,ORB-SLAM3+YOLO,5.0,883,9.043854686962657,1.0736428011964538,22.403774565826996,2.626635505184448,334,3.967181383786085,0.36850583639614976,2.542668874567579,1.7613609176317935
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion,0.5,1341,6.8480280120862895,2.8901297725069215,1.085568601584154,0.17630759541560762,661,1.956685459710768,0.40729794063342833,1.2657587097334118,0.1572793195950424
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion,1.0,1347,12.766851931994513,5.108145030804869,1.671591736520388,0.2958357879624887,612,3.7256239259090504,0.352491592454779,2.1328101196729383,0.24132561572705408
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion,2.0,1317,24.669470867422643,9.588913019393173,2.5360976336225542,0.5260819881652119,542,6.910014876705295,0.4888498467355527,3.3391672256938127,0.39775436867945396
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,VINS-Fusion,5.0,1248,60.98673940192385,22.24042642387439,3.7098056614874606,0.9398248194828821,437,14.08796250081013,0.559228213265848,3.023185718286071,0.9926849742679754
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3,0.5,980,31.31268020426968,2.529166164927703,8.264847516281609,0.660994482088258,430,1.4516461817233863,0.9923468959519879,12.365703164649755,0.7554048253721867
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3,1.0,985,59.421602702561906,4.464680929730016,10.943793839856413,1.2518232570507013,362,2.687145868005902,1.7890761413806469,17.847932963767278,1.5218698917471927
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3,2.0,972,114.67326782392428,8.386468048427995,16.946846765418993,2.2265834022508315,236,4.899288003524153,3.3793102786640263,32.871058180747674,2.8268199557832645
dataset_dynamic_nofloortexture_00_000,logging_20260916_02,ORB-SLAM3,5.0,952,277.1502596935478,30.823966632130414,21.364604511646256,4.556255630091345,26,10.163394072787824,7.343034498465229,6.909065290240123,6.799930126797825
