tree,system,dataset,repeat,status,treatment_status,shutdown,initialized,initialization_evidence,summary_schema_status,sensor_duration_s,input_frames,processed_frames,dropped_frames,processed_fraction_pct,throughput_hz,poses,pose_rate_hz,initialization_s,tracking_losses_or_resets,tracking_loss_duration_s,keyframes,loop_closures,map_merges,cpu_avg_pct_one_core,memory_median_mb,memory_peak_mb,replay_rate,detection_frames_matched,detection_frames_missed,masks_rejected,dynamic_points_dropped
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,77.385,1505.0,1505.0,0.0,100.0,19.448213478064222,1494.0,19.306067067261097,0.33,0.0,0.0,nan,0.0,0.0,514.5654323438374,977.7578125,1104.79296875,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,77.418,1389.0,1389.0,0.0,100.0,17.9415639773696,1378.0,17.799478157534423,0.33,0.0,0.0,nan,0.0,0.0,526.144707633301,976.41796875,1088.71875,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,77.418,1195.0,1195.0,0.0,100.0,15.43568679118551,1184.0,15.293600971350331,0.33,0.0,0.0,nan,0.0,0.0,513.990383153636,962.59765625,1069.86328125,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,73.722,2235.0,2235.0,0.0,100.0,30.316594774965413,2224.0,30.16738558367923,0.33,0.0,0.0,nan,0.0,0.0,409.5469655902436,335.73046875,422.16796875,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,73.722,2235.0,2235.0,0.0,100.0,30.316594774965413,2224.0,30.16738558367923,0.33,0.0,0.0,nan,0.0,0.0,365.93793152192364,328.41015625,396.95703125,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,73.722,2235.0,2235.0,0.0,100.0,30.316594774965413,2224.0,30.16738558367923,0.33,0.0,0.0,nan,0.0,0.0,380.3413619210176,341.66796875,414.86328125,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,84.546,2563.0,2563.0,0.0,100.0,30.31485818371064,2552.0,30.184751496226905,0.33,0.0,0.0,nan,0.0,0.0,401.8110838256601,359.61328125,435.6640625,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,84.546,2563.0,2563.0,0.0,100.0,30.31485818371064,2552.0,30.184751496226905,0.33,0.0,0.0,nan,0.0,0.0,384.9765373673193,377.6484375,474.83984375,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_01_000,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,84.546,2563.0,2563.0,0.0,100.0,30.31485818371064,2552.0,30.184751496226905,0.33,0.0,0.0,nan,0.0,0.0,402.4586209585476,414.359375,493.84765625,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,valid,baseline,graceful,1,run_summary,complete,89.463,2712.0,2712.0,0.0,100.0,30.314208108380004,2701.0,30.191252249533328,0.33,0.0,0.0,nan,0.0,0.0,458.43510932138247,406.412109375,490.83203125,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,valid,baseline,graceful,1,run_summary,complete,89.463,2712.0,2712.0,0.0,100.0,30.314208108380004,2701.0,30.191252249533328,0.33,0.0,0.0,nan,0.0,0.0,488.7129698204171,431.677734375,559.13671875,0.5,0.0,0.0,0.0,0.0
output_vins,VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,valid,baseline,graceful,1,run_summary,complete,89.463,2711.0,2711.0,0.0,100.0,30.303030303030305,2700.0,30.18007444418363,0.33,0.0,0.0,nan,0.0,0.0,476.95390371264506,485.0859375,602.39453125,0.5,0.0,0.0,0.0,0.0
