system,dataset,repeat,module,events,median_ms,iqr_ms,p95_ms,max_ms
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_01,visual_update_ms,2712,0.4205,0.276,1.0034499999999997,7.124
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,feature_tracking_ms,2712,42.8425,11.638499999999993,71.22979999999998,171.715
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,backend_total_ms,2712,39.494,50.211,96.0594,225.167
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,solver_ms,2712,31.869999999999997,43.396499999999996,82.1567,91.076
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_02,visual_update_ms,2712,0.441,0.29724999999999996,1.0344999999999982,5.539
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,feature_tracking_ms,2711,41.427,13.842499999999994,68.0475,158.578
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,backend_total_ms,2711,35.7,49.277,94.715,184.103
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,solver_ms,2711,28.045,41.579499999999996,82.251,87.543
VINS-Fusion,dataset_dynamic_nofloortexture_02_000,logging_20260916_03,visual_update_ms,2711,0.459,0.309,1.0415,5.027
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_01,feature_tracking_ms,1185,74.566,30.796999999999997,128.68779999999995,235.939
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_01,backend_total_ms,1185,91.373,55.80199999999999,176.18299999999996,248.834
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_01,solver_ms,1185,65.486,35.706999999999994,89.579,107.784
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_01,visual_update_ms,1185,0.633,0.46299999999999997,1.4687999999999992,8.037
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_02,feature_tracking_ms,1078,83.26,36.939750000000004,139.80194999999998,225.112
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_02,backend_total_ms,1078,96.804,50.66,179.0057,295.152
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_02,solver_ms,1078,66.6155,34.754999999999995,91.255,116.197
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_02,visual_update_ms,1078,0.7184999999999999,0.546,1.6139999999999994,10.361
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_03,feature_tracking_ms,1079,82.746,38.988,141.62030000000001,238.665
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_03,backend_total_ms,1079,98.334,53.119,193.1635,292.014
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_03,solver_ms,1079,67.912,33.986999999999995,91.7739,114.492
VINS-Fusion,dataset_static_nofloortexture_000,logging_20260916_03,visual_update_ms,1079,0.759,0.6074999999999999,1.939499999999995,13.67
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_01,feature_tracking_ms,1004,78.595,33.62700000000001,136.78974999999997,242.236
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_01,backend_total_ms,1004,99.78450000000001,44.505250000000004,165.02795,263.509
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_01,solver_ms,1004,67.8115,25.65149999999999,89.09264999999999,103.141
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_01,visual_update_ms,1004,0.776,0.5037499999999999,1.5872499999999976,7.732
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_02,feature_tracking_ms,957,83.114,36.102999999999994,141.38339999999997,252.552
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_02,backend_total_ms,957,102.862,42.513000000000005,179.32519999999997,240.865
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_02,solver_ms,957,68.604,25.618000000000002,89.9786,121.76
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_02,visual_update_ms,957,0.84,0.6180000000000001,2.010199999999998,6.713
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_03,feature_tracking_ms,904,88.4005,35.55274999999999,145.82704999999996,224.666
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_03,backend_total_ms,904,106.42250000000001,35.26424999999999,169.21639999999994,258.746
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_03,solver_ms,904,69.58,19.476,90.7509,104.646
VINS-Fusion,dataset_static_nofloortexture_001,logging_20260916_03,visual_update_ms,904,0.982,0.6072499999999998,2.000799999999999,7.221
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_01,feature_tracking_ms,1234,73.075,34.02824999999999,124.56029999999997,211.986
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_01,backend_total_ms,1234,95.997,48.656000000000006,168.16719999999998,274.421
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_01,solver_ms,1234,65.86,29.145249999999997,88.06149999999998,104.485
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_01,visual_update_ms,1234,0.727,0.58375,1.6350499999999997,9.519
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_02,feature_tracking_ms,1184,77.4625,34.16975000000001,129.80755,242.664
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_02,backend_total_ms,1184,98.989,45.50075,176.5542999999999,271.641
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_02,solver_ms,1184,66.0995,26.64500000000001,88.68414999999999,109.937
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_02,visual_update_ms,1184,0.7685,0.67725,1.7875999999999985,10.951
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_03,feature_tracking_ms,1085,83.997,37.928,141.32079999999996,291.547
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_03,backend_total_ms,1085,102.477,51.260000000000005,174.05180000000001,261.47
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_03,solver_ms,1085,67.658,24.090000000000003,89.181,121.632
VINS-Fusion,dataset_static_nofloortexture_002,logging_20260916_03,visual_update_ms,1085,0.832,0.6649999999999999,1.9651999999999998,9.405
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,tracking_total_ms,1162,76.7595,20.0235,108.34535000000001,211.44
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,feature_stereo_ms,1162,58.8865,15.75399999999999,84.75845000000001,183.877
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,local_mapping_total_ms,336,212.3705,94.70750000000007,363.06425,1407.699
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,local_BA_ms,336,130.36,73.26750000000001,243.546,343.378
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_01,place_recognition_ms,335,19.119192,40.9174235,63.3503135,114.527202
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,tracking_total_ms,1245,71.75,19.39,99.72119999999998,191.73
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,feature_stereo_ms,1245,57.175,15.908999999999999,80.0958,174.944
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,local_mapping_total_ms,334,189.5095,100.2825,359.97064999999986,1741.96
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,local_BA_ms,334,113.1845,75.3585,251.32289999999995,374.99
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_02,place_recognition_ms,333,23.257985,40.668341999999996,63.85697379999999,144.411194
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,tracking_total_ms,1256,72.1875,21.322499999999998,100.6255,184.671
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,feature_stereo_ms,1256,55.415,16.5205,79.73675,152.773
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,local_mapping_total_ms,316,204.716,127.85650000000001,399.83275,2517.705
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,local_BA_ms,316,128.355,96.7045,281.69,447.389
ORB-SLAM3,dataset_dynamic_nofloortexture_00_000,logging_20260916_03,place_recognition_ms,315,38.413777,51.7276195,72.6069063,121.274613
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,tracking_total_ms,2043,57.26,18.15299999999999,85.6365,204.515
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,feature_stereo_ms,2043,41.918,14.659500000000001,64.99499999999999,169.821
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,local_mapping_total_ms,595,188.051,128.352,353.05179999999996,4053.229
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,local_BA_ms,595,114.294,104.79150000000001,254.42639999999997,359.903
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_01,place_recognition_ms,594,36.081869,44.951632249999996,64.36126750000001,114.559175
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,tracking_total_ms,2001,60.846,19.420999999999992,92.485,166.751
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,feature_stereo_ms,2001,44.792,15.819000000000003,72.218,137.336
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,local_mapping_total_ms,561,201.288,130.766,366.936,3295.275
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,local_BA_ms,561,130.283,105.13199999999999,269.307,456.708
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_02,place_recognition_ms,560,36.682868,47.55556975,67.75464129999997,134.969257
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,tracking_total_ms,2019,63.011,20.54849999999999,91.4752,194.667
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,feature_stereo_ms,2019,46.697,14.826,70.0363,162.808
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,local_mapping_total_ms,544,207.432,147.5715,400.3969,3283.992
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,local_BA_ms,544,127.6795,116.50299999999999,279.90085,413.387
ORB-SLAM3,dataset_dynamic_nofloortexture_00_001,logging_20260916_03,place_recognition_ms,543,35.580411,46.732760999999996,66.45496259999999,152.661459
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,tracking_total_ms,2099,61.31,28.980000000000004,99.22579999999998,206.436
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,feature_stereo_ms,2099,45.493,18.997500000000002,73.0958,163.239
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,local_mapping_total_ms,407,190.133,194.1585,444.71389999999997,4461.762
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,local_BA_ms,407,123.082,155.80100000000002,321.768,443.056
ORB-SLAM3,dataset_dynamic_nofloortexture_01_000,logging_20260916_01,place_recognition_ms,406,2.5340305,27.85258675,50.359660000000005,129.206052
